value,dim1,dim2,dim3
1.60,1,4,96
2.00,1,4,120
2.40,1,4,144
2.80,1,4,168
3.20,1,4,192
2.40,1,6,96
3.00,1,6,120
3.60,1,6,144
4.20,1,6,168
4.80,1,6,192
3.20,1,8,96
4.00,1,8,120
4.80,1,8,144
5.60,1,8,168
6.40,1,8,192
5.33,1,10,96
6.67,1,10,120
8.00,1,10,144
9.33,1,10,168
10.67,1,10,192
6.40,1,12,96
8.00,1,12,120
9.60,1,12,144
11.20,1,12,168
12.80,1,12,192
14.40,6,6,96
18.00,6,6,120
21.60,6,6,144
25.20,6,6,168
28.80,6,6,192
43.20,6,12,96
54.00,6,12,120
64.80,6,12,144
75.60,6,12,168
86.40,6,12,192
3.20,2,4,96
4.00,2,4,120
4.80,2,4,144
5.60,2,4,168
6.40,2,4,192
4.80,2,6,96
6.00,2,6,120
7.20,2,6,144
8.40,2,6,168
9.60,2,6,192
6.40,2,8,96
8.00,2,8,120
9.60,2,8,144
11.20,2,8,168
12.80,2,8,192
10.67,2,10,96
13.33,2,10,120
16.00,2,10,144
18.67,2,10,168
21.33,2,10,192
12.80,2,12,96
16.00,2,12,120
19.20,2,12,144
22.40,2,12,168
25.60,2,12,192
19.20,6,8,96
24.00,6,8,120
28.80,6,8,144
33.60,6,8,168
38.40,6,8,192
38.40,8,8,96
48.00,8,8,120
57.60,8,8,144
67.20,8,8,168
76.80,8,8,192
6.40,4,4,96
8.00,4,4,120
9.60,4,4,144
11.20,4,4,168
12.80,4,4,192
9.60,4,6,96
12.00,4,6,120
14.40,4,6,144
16.80,4,6,168
19.20,4,6,192
12.80,4,8,96
16.00,4,8,120
19.20,4,8,144
22.40,4,8,168
25.60,4,8,192
21.33,4,10,96
26.67,4,10,120
32.00,4,10,144
37.33,4,10,168
42.67,4,10,192
25.60,4,12,96
32.00,4,12,120
38.40,4,12,144
44.80,4,12,168
51.20,4,12,192
36.00,6,10,96
45.00,6,10,120
54.00,6,10,144
63.00,6,10,168
72.00,6,10,192
53.33,8,10,96
66.67,8,10,120
80.00,8,10,144
93.33,8,10,168
106.67,8,10,192
